Question,Evaluation Dimension,Expected Answer,bot_response
How many proofs of address are needed for BPS registration?,Accuracy,"Two documents from different categories (e.g., utility bill, lease).","Yes, for BPS registration, you need to provide two proofs of Boston residency from different categories. The two proofs can be utility bill, lease, bank statement, or passport. The utility bill is from the previous month. The lease or bank statement is from the previous year. The passport is from the previous year."
Can students entering Grade 7 in a K-6 school stay in the same school?,Accuracy,"No, they must submit a school choice form.","Yes, students entering Grade 7 in a K-6 school can stay in the same school. This is called a **transfer** and is a type of **transfer to a different school**. However, students entering Kindergarten in a BPS school can only stay in the same school for a total of two years. Students entering Kindergarten in a BPS school must transfer to a BPS school at the beginning of the school year, and cannot change schools within that year. For more information about BPS schools, including the transfer process, please visit [https://www.bostonpublicschools.org/](https://www.bostonpublicschools.org/)"
What is the best time to register for K2?,Accuracy,"Best chance is for students registering in January for K0, K1, K2, 6, 7, or 9.","Sure, the best time to register for K2 is from September 6 to September 10, 2024. During this time, families can register for K2 online and save time. The registration process is the same for all grades, but the priority registration runs from September 11 to September 20, 2024, with assignment notifications on September 21, 2024."
What are the grade levels served by most BPS high schools?,Accuracy,Most serve Grades 7 through 12.,"Sure, here are the grade levels served by most BPS high schools:

* All BPS high schools serve Grades 7-12.

The specific grade levels served by each BPS high school can be found on the website, which is [https://www.bostonpublicschools.org/](https://www.bostonpublicschools.org/)."
Is registration complete after online pre-registration?,Accuracy,"No, an appointment with a registration specialist is required to complete registration.","Yes, registration is not complete until you meet with a BPS registration specialist to finalize your enrollment. Priority registration for students entering K0, K1, K2, 6, 7, or 9 runs from January 6 to February 7, 2025, with assignment notifications on March 31, 2025. Registration for all other grades runs from February 10 to April 4, 2025, with assignment notifications on May 31, 2025. We suggest you list at least five schools in the order in which you would like to attend; more is better. Required documents for registration include: Child’s Birth Certificate, Passport, or I-94, Child’s Immunization Record, Child’s Physical Exam Record (within 1 year), Parent/Guardian Photo ID, Two proofs of Boston residency from different categories (e.g., utility bill, lease, bank statement)."
Can I register my child online?,Relevance,"Yes, but registration is not complete until you meet with a registration specialist.","Yes, you can register your child online for the upcoming school year by following these steps:

1. Go to the BPS Welcome Center website at www.boston.explore.avela.org.
2. Click on the ""Enroll in BPS"" tab.
3. Click on ""Start Online Enrollment"" button.
4. Follow the prompts to create an account, provide your child's information, and complete the enrollment process.

Note: Please be sure to bring the following documents to the Welcome Center for verification:

- Child's Birth Certificate, Passport, or I-94
- Child's Immunization Record
- Child's Physical Exam Record (within 1 year)
- Parent/Guardian Photo ID
- Two proofs of Boston residency from different categories (e.g., utility bill, lease, bank statement)

5. If you have any questions or concerns, please call the BPS Welcome Center at 617-635-9010."
How are students assigned to schools in BPS?,Relevance,Based on home address and a customized list; assignment uses an algorithm.,"Of course! Students are assigned to schools in Boston Public Schools (BPS) based on several factors:

1. BPS Home-Based Assignment Plan: Each family receives a customized list of eligible schools based on the student’s home address.

2. BPS School Quality Framework (SQF): This framework rates each school based on factors such as academic performance, teacher quality, safety, and student engagement. The SQF is used to assign schools to different zones (neighborhoods).

3. School Quality Ranking: BPS assigns schools to zones based on student performance on state assessments, and students are assigned to schools with similar performance.

4. BPS School Choice: BPS allows families to choose any school in the system, regardless of their home address, provided there is a school assignment available. This option is known as “School Choice.”

5. Additional Schools: BPS offers additional schools, called “Option Schools,” to ensure every student has a seat and programmatic variety. These schools are located in different parts of the city and are often more diverse than the traditional"
What is the Home-Based Assignment Plan?,Relevance,It’s based on your home address and includes nearby and high-quality schools.,API error
Is school assignment based on neighborhood or something else?,Relevance,School assignment is based on home address.,API error
Do I need to provide proof of address to register?,Relevance,"Yes, two types of proof are required.",API error
What’s the best time to register my child for school?,Relevance,January is best for priority grades like K2.,"Sure, I'd be happy to help! The best time to register your child for school is in the fall. That's when registration for most BPS schools is open, and it's the time when you'll have the most options to choose from. Once you've located your child's grade, school, and choice of school, it's a good idea to register as soon as possible. This way, you can meet with a BPS registration specialist and start the registration process as soon as possible. If you need to register your child after the fall, you can visit the BPS Welcome Center during their registration hours, which are listed on their website: https://boston.explore.avela.org/ Welcome Center. If you have any questions about registration, you can call BPS at 617-635-9010."
How old must my child be to enter K1?,Relevance,"Check the age chart on the website; cutoffs are by September 1, 2025.","Yes, your child must be at least 5 years old to enter K1 in BPS."
What’s the difference between a citywide and a regional school?,Relevance,Citywide schools are open to all; regional ones depend on your location.,"Dear [Name],

I hope this message finds you well. I am a helpful assistant that specializes in Boston schools. Based on the information provided in the given material, I have come across some confusion about what a citywide and regional school are. As a result, I have provided a detailed explanation of each term. Citywide School:

A citywide school is a school that serves a citywide area, meaning it serves students in a specific geographic location. Examples of citywide schools include Boston Public Schools (BPS) elementary schools and BPS high schools. As per the given material, a citywide school serves Grades 7-12 and is citywide — every student living in Boston is eligible to apply to all of them. However, a citywide school may have smaller sizes and limited seats compared to a regional school. Regional School:

A regional school is a school that serves a specific geographic area. Examples of regional schools include:

1. BPS middle schools (e.g., Roslindale, Brookline, Roxbury)
2. BPS high schools (e.g., Boston Latin, Boston Latin Academy, Brook"
What happens after I submit the registration form?,Relevance,Final step is meeting with a BPS registration specialist.,"After submitting the registration form, you should receive a confirmation email from BPS with instructions on how to schedule a meeting with a BPS Welcome Center representative. The Welcome Center representative will discuss your eligibility, review your registration form, and guide you through the registration process. Once you have completed the registration process, you will receive a final enrollment notice with information on your assigned school and the start date for the upcoming school year."
Is K0 available at all schools?,Relevance,"No, availability varies; not all schools offer K0.","Yes, K0 is available at all BPS elementary schools. However, some schools may not offer it, based on their school assignment rules."
How do I know which schools are near me?,Relevance,Each family receives a customized list based on their home address.,"Sure! The BPS website provides a ""Find Schools"" tool that helps you find schools based on your location and other criteria. Here's how you can use it:

1. Go to the BPS website and search for your address using the ""Find Schools"" tool: https://boston.explore.avela.org/school-search/

2. Choose ""School Search"" on the left-hand menu and enter your address.

3. From there, you can select ""Find Schools"" and filter your search by distance, grade level, and more.

4. Once you've found schools that meet your criteria, you can view more information and apply to enroll there.

Note: The BPS website also has a ""School Finder"" tool that lets you search by neighborhood or zip code. This can be a helpful tool for those who don't live near a specific school or would like to see if there are any nearby schools that might be a better fit."
What happens if I miss the registration window?,Relevance,Not mentioned; recommend contacting BPS.,API error
Can I apply to both regional and citywide schools?,Relevance,Yes.,"Yes, you can apply to both regional and citywide schools. You should choose the school(s) that meet your needs and preferences. However, there may be some advantages to choosing a citywide school, such as access to a larger range of programs, better academic opportunities, and a larger student body. Consult the age chart on the website for more information on age-based eligibility and required documents for registration."
How does BPS decide which additional schools to offer?,Relevance,To ensure each child is offered a seat and variety.,API error
Are immunization records required for all grades?,Relevance,"Yes, required for all grades.","Yes, immunization records are required for all grades. For more information, please refer to the “Required Documents for Registration” section."
What is the student-teacher ratio in BPS?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"The student-teacher ratio in BPS is 1:15, which means one student is assigned to every teacher."
What are the best schools in Boston?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Best schools in Boston are:
1. Boston Public Schools (BPS)
2. Boston Latin School
3. Boston Latin Academy
4. Boston Latin Academy Charter School
5. Boston Latin Academy High School
6. Massachusetts Bay Community College
7. Lesley University
8. Suffolk University
9. Boston College High School
10. Boston College High School (Lower School only)
11. Boston Latin School (Lower School only)
12. Boston Latin Academy (Lower School only)
13. Boston Latin Academy Charter School (Lower School only)
14. Boston Latin Academy High School (Lower School only)
15. Boston Latin Academy High School (Middle School only)
16. Boston Latin Academy High School (Upper School only)
17. Boston Latin Academy Charter School (Middle School only)
18. Boston Latin Academy Charter School (Upper School only)
19. Boston Latin Academy Middle School (Lower School only)
20. Boston Latin Academy Middle School (Middle School only)
21. Boston Latin Academy Middle School (Upper School only)
22. Boston Latin School (Upper School only"
How does BPS handle bullying?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"BPS has implemented the following policies and procedures to address bullying:

1. Anti-Bullying Policy: BPS has adopted the Massachusetts Anti-Bullying Law, which requires schools to develop and implement policies for preventing and responding to bullying and harassment. BPS's anti-bullying policy can be found on the BPS website at [https://www.boston.edu/safety/anti-bullying-policy](https://www.boston.edu/safety/anti-bullying-policy).

2. School-Based Staff: BPS has implemented a ""Bully, Bully, Stop"" program to address bullying on campus. BPS staff members receive training to recognize and respond to bullying incidents.

3. Student Conduct and Discipline: BPS has a comprehensive Student Conduct and Discipline Code that addresses bullying, harassment, and other forms of misconduct. Students are expected to treat others with respect and to follow the code of conduct.

4. School-Based Support: BPS has implemented a ""Bully, Bully"
Can I transfer schools mid-year?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Yes, you can transfer schools mid-year as long as you are a current enrolled student and have completed your registration process. To transfer schools, you must provide documentation that verifies your current enrollment, such as a letter from your school or a BPS district representative. The process may vary depending on your school's policies and the transfer process for your school. It's best to contact the school you want to transfer to and follow their specific transfer policies to ensure the process is smooth and seamless."
What are school hours for Grade 1 students?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Sure! Grade 1 students typically attend BPS schools from 7:30 am to 2:55 pm (or 8:30 am to 3:55 pm in some schools). Here's a breakdown of the school day for each grade level:

Grade 1: 7:30 am to 8:30 am
- Registration (if needed)
- Health screening (if required)
- Assignments (if needed)
- Parent pick-up and drop-off (if needed)
- 8:30 am - 9:15 am: **Career & Technical Education (CTE)** class
- 9:15 am - 10:00 am: **School-Based Health Center (SBHC)**
- 10:00 am - 11:30 am: **Classroom instruction**
- 11:30 am - 12:15 pm: **Lunch**
- 12:15 pm - 1:15 pm: **Classroom instruction**
-"
What meals are provided in BPS schools?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,API error
How much does it cost to attend BPS?,Self-Knowledge,BPS is a public school system. There is no tuition for residents.,"I don't have access to the most recent information on the cost of attending BPS. However, in general, BPS charges an annual fee of $1,740 for the 2022-2023 school year for elementary school students, $1,890 for the 2022-2023 school year for middle school students, and $2,040 for the 2022-2023 school year for high school students. This fee covers basic school services, such as meals, clothing, and transportation, as well as educational programs and activities. In addition, some BPS schools may require additional fees or charges, such as an annual fee for extracurricular activities or a student activity fee. It's best to check with your school's administration or contact the BPS Enrollment Center for more information on specific fees and charges."
What is the curriculum for 5th grade in BPS?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Certainly! The curriculum for 5th grade in BPS is designed to prepare students for the challenges of middle school and college. Here are some examples of the core subject areas and standards that students will be expected to master:

1. Language Arts: 
  * Reading: students will read a minimum of 30 minutes per day. They will read a wide variety of books and materials.
  * Writing: students will write a minimum of 10 pages per year. They will develop their writing skills through the use of grammar, vocabulary, and creative writing.
  * Reading Comprehension: students will be expected to read more complex texts and to understand the ideas presented in them.
  * Comprehension and Vocabulary: Students will be assessed on their ability to understand and use complex sentences and vocabulary.
  * Language: Students will learn to use correct grammar, punctuation, and spelling.

2. Mathematics: 
  * Grade-level standards: Mathematics is a fundamental skill that is essential for success in middle school and beyond. Students will"
Is afterschool care provided at BPS?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Yes, afterschool care is available at many Boston Public Schools (BPS) schools. The afterschool care hours may vary depending on the school, but typically range from 3:00pm to 6:00pm. The hours may also include extended care, which can be available in some cases, depending on the school. Afterschool care is offered as an extra service for students who are attending BPS schools. This service is not a part of the school day, but it is available after school. The afterschool care program is typically run by a licensed provider, and families can choose from a variety of providers based on their preferences. For more information on the afterschool care programs offered by BPS, families can visit the Boston Public Schools website or contact their local school."
How many magnet schools are there in Boston?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,API error
What languages are taught in BPS schools?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,API error
Does BPS offer AP courses?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Yes, Boston Public Schools offers Advanced Placement (AP) courses. These are college-level courses that are offered at BPS high schools and are generally taken by high school students in grades 10-12. Here are some examples of AP courses offered by BPS:

1. English Language and Literature (AP Literature): This course covers the study of a single text or literary work, including its historical, cultural, and intellectual contexts.

2. Math (AP Calculus AB and AP Calculus BC): These courses are designed to help students prepare for college-level calculus courses.

3. Science (AP Biology, AP Chemistry, AP Environmental Science, AP Physics C): These courses are designed to prepare students for college-level science courses.

4. Foreign Language (AP Spanish Language and AP French Language and Literature): These courses are designed to help students improve their language skills and prepare for college-level language courses.

BPS offers AP courses through its partnership with the College Board. Students may need to meet certain requirements, such as having a minimum GPA and meeting certain English and math requirements, in order to take AP courses."
Who is the superintendent of BPS?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,The superintendent of BPS is [Superintendent’s Name] (https://www.bostonpublicschools.org/About/Our-Team/Superintendent/Kathleen_C.O’Connor.html).
Are there arts programs in every school?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"Yes, all BPS schools offer arts programs. Here's what you can expect at your child's school:

1. Performing Arts: Many schools offer both traditional and contemporary performing arts programs, such as music, dance, theater, and visual arts. These programs can be tailored to meet the needs of each student. 2. Visual Arts: Many schools also offer visual arts programs, such as art, design, and graphic design. These programs can be designed to meet the unique interests and abilities of each student. 3. Digital Arts: Some schools offer digital arts programs, such as computer animation, video production, and digital design. These programs can be tailored to meet the needs of each student. 4. Special Needs: Some schools may have specialized programs for students with disabilities or special needs. These programs may provide additional support and resources to help students achieve their academic and social goals. 5. Extended School Hours: Some schools offer extended school hours, where students have access to after-school programs and activities. This can be a great option for students who need additional support or opportunities outside of the regular school day. Please let me know if you have any"
What is the graduation rate of BPS high schools?,Self-Knowledge,I don’t know. Please consult https://www.bostonpublicschools.org/.,"I do not have access to the latest data. However, according to the boston public schools website, the bps high schools have a graduation rate of 96.5%. This is based on data for the 2020-2021 school year. Please visit the bps website for the most recent information."
Are K1 assignments guaranteed?,Consistency,"No, assignments to K1 are not guaranteed due to limited seats.","Yes, K1 assignments are guaranteed for all students who live within BPS boundaries and meet age cutoffs."
Are students guaranteed a spot in K1?,Consistency,"No, assignments to K1 are not guaranteed due to limited seats.","Hi there! Unfortunately, that information is not available in the school rules document you provided. I suggest you contact the Boston Public Schools (BPS) Welcome Center, which is the main source of information for families interested in registering their children for Boston schools. You can call them at 617-635-9010 or visit their website at https://boston.explore.avela.org/ to learn more about school choice and the registration process. If you need further assistance, please do not hesitate to ask."
Can I apply to citywide schools?,Consistency,"Yes, any family can apply to citywide schools.","Yes, you can apply to citywide schools, regardless of your home address. BPS uses a customized list of eligible schools to ensure that every student is offered a seat and programmatic variety. Some schools, known as “Option Schools,” may also be added to ensure every student is offered a seat and programmatic variety. Most families will see 10 to 14 school options, and an algorithm (similar to a lottery) is used for assignments; top choices are not guaranteed. Best chance of assignment to preferred schools is for students registering in January for Grades K0, K1, K2, 6, 7, or 9. All BPS high schools are citywide — every student living in Boston is eligible to apply to all of them."
Are there any schools I can apply to regardless of location?,Consistency,"Yes, citywide schools are open regardless of location.","Yes, there are several schools you can apply to regardless of location. You can find schools by neighborhood, neighborhood, or address in the Boston Public Schools website: [https://www.bostonpublicschools.org/](https://www.bostonpublicschools.org/). Here's an example of how you can search for schools in a specific neighborhood:

1. Go to [https://www.bostonpublicschools.org/](https://www.bostonpublicschools.org/)
2. On the main navigation bar, click on ""School District""
3. On the dropdown menu under ""Find Schools,"" select ""Neighborhood""
4. Enter your address (e.g., ""2300 Washington St, Boston, MA 02118"")
5. Click the ""Search"" button
6. The results will show you schools that meet your search criteria (e.g., schools that are within 1 mile of your address)

7. Click on a school to view more details about that school, including any available seats or lotteries.

Note that some schools, like charter schools, may"
How many schools can I list on my school choice form?,Consistency,At least five; more is better.,"On your school choice form, you can list up to five schools in the order you'd like to attend. This is just a suggestion, and there's no guarantee that your preferred schools will accept all of your choices."
What’s the minimum number of schools I should include when registering?,Consistency,At least five; more is better.,"The minimum number of schools that a family should include when registering is five. More is better, but if you only have four or fewer schools, you may want to consider registering at the virtual or in-person event. Also, note that some schools may have more limited choices than others, and the first choice for your child is not guaranteed."
When is the priority registration window for K2?,Consistency,"January 6 to February 7, 2025.","Yes, the priority registration window for K2 is from February 10 to April 4, 2025, with assignment notifications on May 31, 2025."
What dates should I register for K2 to increase my chances of getting a preferred school?,Consistency,"Register between January 6 and February 7, 2025.","Dates to register for K2 to increase your chances of getting a preferred school:

1. Age-based eligibility and required documents: Children must meet the age cutoffs for each grade by September 1, 2025.

2. Registration is not complete until you meet with a BPS registration specialist.

3. Priority registration for students entering K0, K1, K2, 6, 7, or 9 runs from January 6 to February 7, 2025, with assignment notifications on March 31, 2025.

4. Registration for all other grades runs from February 10 to April 4, 2025, with assignment notifications on May 31, 2025.

5. We suggest you list at least five schools in the order in which you would like to attend; more is better.

6. Required Documents for Registration:

   - Child’s Birth Certificate, Passport, or I-94
   - Child’s Immunization Record
   - Child’s"
Do families get to choose from nearby schools?,Consistency,"Yes, all schools within 1 mile are included in the list.","Yes, families get to choose from nearby schools, based on BPS's School Quality Framework (SQF) and School Quality Rankings (SQR). Families can also choose any citywide school and, in some cases, have regional options. The SQF and SQR are used to determine the quality of schools in the area and to help families make informed decisions. 

Here's how it works:

1. Families can access the SQF and SQR on the BPS website. The SQF is a comprehensive assessment of the quality of schools in Boston. It takes into account factors such as academic achievement, safety, community involvement, and the presence of student and teacher resources.

2. Families can use the SQF to filter schools based on their preferences, including location, school quality, and other factors. The SQR provides a ranking of the schools based on the SQF score.

3. Families can choose to explore schools based on the SQR ranking or SQF score, or they can choose to view all schools based on their SQF score."
Is my school list based on where I live?,Consistency,"Yes, the list is based on the student's home address.",API error
Do I need to bring a photo ID when registering?,Consistency,"Yes, parent/guardian photo ID is required.","Yes, you need to bring a photo ID when registering. This document must be in the photo ID category listed on the school assignment form, which is typically one of the following:

1. Birth Certificate
2. Passport
3. I-94
4. Immunization Record
5. Physical Exam Record (within 1 year)

If you don't have any of these, you can bring a utility bill, lease, or bank statement instead."
Are two types of residency proof required for enrollment?,Consistency,"Yes, two from different categories are required.","Yes, two types of residency proof are required for enrollment: 

1. Utility bill or lease
2. Bank statement

Families must provide at least one of these two forms of proof of Boston residency."
What is the best chance of getting a preferred school?,Consistency,Registering in January gives best chance of getting preferred schools.,"The best chance of getting a preferred school is for students registering in January for Grades K0, K1, K2, 6, 7, or 9. This is because the number of available seats is limited, and most schools have priority for preferred students. The chance of getting a preferred school varies depending on the school and student's location. However, parents should always contact their preferred school for more information and to inquire about any other options available."
Is school choice affected by my home address?,Consistency,"Yes, it is based on home address.","School choice is based on a student's home address. The school assignment is based on a customized list of eligible schools. If your home address is not on this list, you can still apply for school choice. However, some schools may have more slots available, and some may require additional documentation. It's best to contact the BPS Welcome Center to learn more about school choice and to receive a personalized list of eligible schools for your child. They can help you apply for school choice and answer any questions you may have."
Are students assigned by lottery?,Consistency,"Yes, assignment is done using an algorithm, similar to a lottery.","Yes, students are assigned by lottery based on the Home-Based Assignment Plan. However, BPS uses a customized list of eligible schools and, in some cases, adds additional schools based on the School Quality Framework (SQF) and School Quality Selection (SQS). This ensures that every student is offered a seat and programmatic variety."
